Election,County,Office,Party,Candidate,Votes,ElectionDayVotes,MailVotes,ProvisionalVotes
2020 Presidential Election,ADAMS,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",18207,6611,11436,160
2020 Presidential Election,ADAMS,President of the United States,Republican,"TRUMP, DONALD J.",37523,29942,7148,433
2020 Presidential Election,ADAMS,President of the United States,Libertarian,"JORGENSEN, JO",810,544,256,10
2020 Presidential Election,ALLEGHENY,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",429065,148171,273080,7814
2020 Presidential Election,ALLEGHENY,President of the United States,Republican,"TRUMP, DONALD J.",282324,209459,66575,6290
2020 Presidential Election,ALLEGHENY,President of the United States,Libertarian,"JORGENSEN, JO",8344,5085,3076,183
2020 Presidential Election,ARMSTRONG,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",8457,4275,4108,74
2020 Presidential Election,ARMSTRONG,President of the United States,Republican,"TRUMP, DONALD J.",27489,24233,2917,339
2020 Presidential Election,ARMSTRONG,President of the United States,Libertarian,"JORGENSEN, JO",424,340,78,6
2020 Presidential Election,BEAVER,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",38122,17304,20153,665
2020 Presidential Election,BEAVER,President of the United States,Republican,"TRUMP, DONALD J.",54759,45464,8468,827
2020 Presidential Election,BEAVER,President of the United States,Libertarian,"JORGENSEN, JO",1241,851,372,18
2020 Presidential Election,BEDFORD,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4367,1822,2498,47
2020 Presidential Election,BEDFORD,President of the United States,Republican,"TRUMP, DONALD J.",23025,19637,3027,361
2020 Presidential Election,BEDFORD,President of the United States,Libertarian,"JORGENSEN, JO",182,121,59,2
2020 Presidential Election,BERKS,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",92895,43533,47364,1998
2020 Presidential Election,BERKS,President of the United States,Republican,"TRUMP, DONALD J.",109736,90579,17037,2120
